"classe","codigo","vm","gc","lc","roe","divbr_pl","ll","ll_cresc","p_vpa","pl","ret_anual"
"ON","COCE3",3801255.23536667,FALSE,1.03439677035667,15.471044361,55.213322435,TRUE,TRUE,1.466429117,8.6916999129,NA
"ON","ENEV3",3761401.76666667,TRUE,1.14186469594,4.32829276065,84.9156549895,FALSE,FALSE,0.721927279136667,9.0787259292,-46.8719788910928
"ON","ARZZ3",3617348.15333333,TRUE,2.7439070484,23.0259463645,26.7326031035,TRUE,FALSE,5.41375064763333,24.978693512,5.88133029859388
"ON","OIBR3",3608860.5804,FALSE,1.12703016866,94.628415216,-174.1724864735,FALSE,FALSE,0.0168479168556667,-0.187319083031,-40.4888913438485
"ON","GEPA3",3575547.10666667,FALSE,0.814665268493333,11.05520946415,91.6917932535,TRUE,FALSE,1.91870268736667,15.5844927420667,NA
"ON","RLOG3",3495892.13973333,TRUE,1.07673189503,-2.13062337448,124.15696968,FALSE,FALSE,1.70779440196667,-68.3513439697667,NA
"ON","ELPL3",3454604.75333333,TRUE,0.844107195086667,-44.4301246595,190.452903035,FALSE,FALSE,1.67269916906667,63.9091766190667,NA
"ON","ENMT3",3423753.20336667,FALSE,1.0830479693,2.90382315364,141.42110615,TRUE,FALSE,1.90851723033333,286.341152513,29.8299306288125
"ON","BRPR3",3322504.87666667,TRUE,1.8168564199,2.61418536772,49.5712272495,FALSE,TRUE,0.599422358246667,69.0139451336667,-3.21849394859502
"ON","LIGT3",3259546.059,TRUE,0.89768326237,5.0822738524,258.25892788,FALSE,FALSE,0.96612413657,9.69684009433333,-1.2843905302183
"ON","ALSC3",3207802.48193333,TRUE,2.28056531343333,3.91736063045,0,FALSE,FALSE,1.30586810576667,-22.038876805,-3.18090541125678
"ON","SLCE3",3170200.04573333,TRUE,1.3564272164,16.9084349985,60.125973776,TRUE,FALSE,1.26798619326,21.7099369882333,31.9227029615982
"ON","LINX3",3082122.8253,TRUE,4.6960460807,7.1486024967,9.50882683075,TRUE,TRUE,2.6551242352,38.018143064,8.5810450727374
"ON","LEVE3",3064006.98,TRUE,2.19619010236667,18.788848777,17.7573132595,TRUE,FALSE,2.3779739343,44.5377069766667,6.40946469560919
"ON","HGTX3",3062750.72,TRUE,3.60769139136667,19.802347057,2.20272922775,TRUE,FALSE,2.4815080939,13.0754679323333,-8.70374393047544
"ON","SEER3",3012920.48516667,TRUE,3.5559292504,12.382339597,20.2942156195,TRUE,FALSE,2.2783197553,14.2902493566667,NA
"ON","POMO3",2972197.79133333,TRUE,1.71377660623333,4.75347906835,100.588489845,TRUE,FALSE,1.30583104106667,24.9428528502667,-12.8020279224557
